Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Esprit Sushi Fribourg],Price [Esprit Sushi Fribourg],In stock [Esprit Sushi Fribourg],Low stock [Esprit Sushi Fribourg],"Modifier - ""Menu Tokyo""","Modifier - ""Menu Empereur""","Modifier - ""Menu Kobe""","Modifier - ""Menu Maki""","Modifier - ""Menu Kyoto""","Modifier - ""Menu Nigiri""","Modifier - ""Menu végétarien I""","Modifier - ""Menu Best of""","Modifier - ""Menu Végétarien II""","Modifier - ""Menu Duo""","Modifier - ""Gyozas""","Modifier - ""Mangajo""","Modifier - ""Coca""","Modifier - ""Henniez""","Modifier - ""Sushiwich""","Modifier - ""Lunchox maki""","Modifier - ""Lunchox gyoza""","Modifier - ""Ciboulette""","Modifier - ""Saint Valentin""","Modifier - ""Menthe""","Modifier - ""Confiture de figue""","Modifier - ""Ravioli""","Modifier - ""Accompagnement ravioli""","Modifier - ""Choix Menu vegetarien II""","Modifier - ""Maki pour menus""","Modifier - ""California""","Modifier - ""Nigiri pour menu""","Modifier - ""Sashimi""","Modifier - ""Option menu tokyo""","Modifier - ""Boissons""","Modifier - ""Boisson 2""","Modifier - ""Formule""","Modifier - ""Dessert""","Modifier - ""Ramune""","Modifier - ""Springroll Pour Menu""","Tax - ""Alcool"" (7.7%)","Tax - ""Alimentaire"" (2.5%)"
springroll-poulet-mangue-poivron,10099,Springroll poulet mangue poivron,Springroll,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
springroll-saumon-avocat-ciboulette,10158,Springroll saumon avocat ciboulette,Springroll,,N,,,,,,,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
springroll-saumon-cheseaux-aneth-,10072,Springroll Saumon cheese aneth,Springroll,,N,,,,,,,0.00,,,,N,Y,10.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
saumon-cheese-aneth,10095,Springroll saumon cheese aneth,Springroll,,N,,,,,,,0.00,,,,N,Y,10.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
springroll-thon-avocat-coriandre-,10096,Springroll thon avocat coriandre,Springroll,,N,,,,,,,0.00,,,,N,Y,11.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
springroll-thon-spicy-ciboulette,10097,Springroll thon spicy ciboulette,Springroll,,N,,,,,,,0.00,,,,N,Y,11.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
supplément-foie-gras,10182,Supplément foie gras,Accompagnement,,N,,,,,,,0.00,,,,N,Y,1.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
supplément-maki-fois-gras,10181,Supplément maki fois gras,Accompagnement,,N,,,,,,,0.00,,,,N,Y,1.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
suppléments-dtandarts,10163,Suppléments standarts,Supplements gratuits,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
sushiwich,10137,Sushiwich,Lunchbox,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
sushiwich-poulet,10127,Sushiwich poulet,Lunchbox,,N,type,standard,,,,,0.00,,,,N,Y,11.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
sushiwich-poulet,10126,,,,,,étudiant,,,,,0.00,,,,,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,
sushiwich-saumon,10129,Sushiwich saumon,Lunchbox,,N,type,normal,,,,,0.00,,,,N,Y,12.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
sushiwich-saumon,10128,,,,,,étudiant,,,,,0.00,,,,,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,
sushiwich-thon,10125,Sushiwich thon,Lunchbox,,N,type,normal,,,,,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
sushiwich-thon,10124,,,,,,étudiant,,,,,0.00,,,,,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,
sushiwich-végétarien,10141,Sushiwich végétarien,Lunchbox,,N,type,standard,,,,,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
sushiwich-végétarien,10140,,,,,,étudiant,,,,,0.00,,,,,Y,8.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,
tartare-saumon-avocat-aneth,10073,Tartare saumon avocat aneth,Tartare,,N,,,,,,,0.00,,,,N,Y,19.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
tartare-saumon-avocat-aneth-sans-riz,10135,tartare saumon avocat aneth Sans Riz,Tartare,,N,,,,,,,0.00,,,,N,Y,15.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
tartare-thon-saumon,10134,tartare thon saumon,Tartare,,N,,,,,,,0.00,,,,N,Y,21.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
thé-froid,10059,Thé froid,Boissons,,N,,,,,,,0.00,,,,N,Y,3.20,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
thon-cuit-mayo-ciboulette-,10171,Thon cuit mayo ciboulette,Springroll,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
twint,10091,Twint,Paiement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
virement-bancaire,10093,Virement bancaire,Paiement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
wasabi,10054,Wasabi,Suppléments,,N,,,,,,,0.00,,,,N,Y,0.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
wasabi--1,10150,Wasabi,Supplements gratuits,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-crevette-concombre,10040,whiteroll crevette concombre,whiteroll,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-crevette-concombre-menthe,10041,whiteroll crevette concombre menthe,whiteroll,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-crevette-concombre-menthe-1,10103,Whiteroll crevette concombre menthe,Originaux,,N,,,,,,,0.00,,,,N,Y,8.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-foie-gras,10042,whiteroll foie gras,whiteroll,,N,,,,,,,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-poulet-mangue-menthe,10044,whiteroll poulet mangue menthe,whiteroll,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-poulet-avocat-poivron,10043,whiteroll Poulet mangue poivron,whiteroll,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-saumon-avocat,10045,whiteroll saumon avocat,whiteroll,,N,,,,,,,0.00,,,,N,Y,8.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-saumon-avocat-aneth,10046,whiteroll saumon avocat aneth,whiteroll,,N,,,,,,,0.00,,,,N,Y,8.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-saumon-avocat-aneth--1,10101,Whiteroll saumon avocat aneth,Originaux,,N,,,,,,,0.00,,,,N,Y,8.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-surimi-concombre-mayonnaise,10047,whiteroll Surimi concombre mayonnaise,whiteroll,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-thon-avocat,10048,whiteroll thon avocat,whiteroll,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
Whiteroll-thon-avocat-coriandre,10049,whiteroll thon avocat coriandre,whiteroll,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-thon-avocat-coriandre-1,10102,Whiteroll thon avocat coriandre,Originaux,,N,,,,,,,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-thon-cuit-mayonnaise,10050,whiteroll thon cuit mayonnaise,whiteroll,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-thon-spicy,10051,whiteroll thon spicy,whiteroll,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
whiteroll-tofu-au-basilic,10052,whiteroll tofu au basilic,whiteroll,,N,,,,,,,0.00,,,,N,Y,8.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
