Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Esprit Sushi Fribourg],Price [Esprit Sushi Fribourg],In stock [Esprit Sushi Fribourg],Low stock [Esprit Sushi Fribourg],"Modifier - ""Menu Tokyo""","Modifier - ""Menu Empereur""","Modifier - ""Menu Kobe""","Modifier - ""Menu Maki""","Modifier - ""Menu Kyoto""","Modifier - ""Menu Nigiri""","Modifier - ""Menu végétarien I""","Modifier - ""Menu Best of""","Modifier - ""Menu Végétarien II""","Modifier - ""Menu Duo""","Modifier - ""Gyozas""","Modifier - ""Mangajo""","Modifier - ""Coca""","Modifier - ""Henniez""","Modifier - ""Sushiwich""","Modifier - ""Lunchox maki""","Modifier - ""Lunchox gyoza""","Modifier - ""Ciboulette""","Modifier - ""Saint Valentin""","Modifier - ""Menthe""","Modifier - ""Confiture de figue""","Modifier - ""Ravioli""","Modifier - ""Accompagnement ravioli""","Modifier - ""Choix Menu vegetarien II""","Modifier - ""Maki pour menus""","Modifier - ""California""","Modifier - ""Nigiri pour menu""","Modifier - ""Sashimi""","Modifier - ""Option menu tokyo""","Modifier - ""Boissons""","Modifier - ""Boisson 2""","Modifier - ""Formule""","Modifier - ""Dessert""","Modifier - ""Ramune""","Modifier - ""Springroll Pour Menu""","Tax - ""Alcool"" (7.7%)","Tax - ""Alimentaire"" (2.5%)"
california-saumon-avocat-cheese,10186,California saumon avocat cheese,California,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-saumon-avocat-mangue,10213,California saumon avocat mangue,California,<p>California saumon avocat mangue</p>,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-saumon-concombre-cheese,10027,California saumon concombre cheese,California,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-standard-,10170,California standard,,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-surimi-avocat-mayonnaise,10185,California surimi avocat mayonnaise,California,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-surimi-concombre-mayonnaise,10032,California Surimi concombre mayonnaise,California,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-thon-avocat,10029,California thon avocat,California,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-thon-avocat-mangue,10030,California thon avocat mangue,California,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-thon-cuit-avocat,10090,California Thon cuit avocat,California,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-thon-cuit-mayonnaise,10031,California thon cuit mayonnaise,California,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-thon-spicy,10028,California thon spicy,California,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-tobikko-surimi-concombre-mayo,10105,California tobikko Surimi concombre mayo,Originaux,,N,,,,,,,0.00,,,,N,Y,11.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-tofu-au-basilic,10013,California tofu au basilic,California,,N,,,,,,,0.00,,,,N,Y,8.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
california-tofu-au-basilic-confiture-de-figue,10039,california tofu au basilic confiture de figue,California,,N,,,,,,,0.00,,,,N,Y,8.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
californias-(90-pièces),10177,Californias (90 pièces),Lunchbox,,N,,,,,,,0.00,,,,N,Y,90.90,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
carte-,10164,Carte,Paiement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
cash,10165,Cash,Paiement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
cheese,10208,Cheese,Ingrédients,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
coca,10212,Coca cola,Boissons,,N,Coca Cola,Coca Cola Zéro,Coca Zéro,Coca Zéro,,,0.00,,,,Y,Y,3.20,0.000,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
coca,10058,,,,,,normal,,normal,,,0.00,,,,,Y,variable,9.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date-de-début,10197,Date de début,Abonnement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
date-de-fin,10198,date de Fin,Abonnement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
demander-sauces-et-baguettes-à-la-livraison,10203,Demander sauces et baguettes à la livraison,Supplements gratuits,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
eat,10192,Eat,Paiement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
eat-payée-,10167,Eat payée,Paiement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
espritsushi-fribourg.ch,10204,Espritsushi-fribourg.ch,Paiement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
feuille-nori-california,10210,Feuille nori California,Ingrédients,,N,,,,,,,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
formule,10199,Formule,Abonnement,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y
frais-de-livraison,10136,Frais de livraison,livraison,,N,,,,,,,0.00,,,,N,Y,1.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
gingembre-,10074,Gingembre,Suppléments,,N,,,,,,,0.00,,,,N,Y,0.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
gingembre-1,10149,Gingembre,Supplements gratuits,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
gunkan-massago,10111,Gunkan massago,Gunkan,,N,,,,,,,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
gunkan-poulet-mangue-poivron-,10174,Gunkan poulet mangue poivron,Gunkan,,N,,,,,,,0.00,,,,N,Y,8.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
gunkan-saumon-avocat-aneth,10106,Gunkan saumon avocat aneth,Gunkan,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
tartare-concombre-carotte,10110,Gunkan Tartare concombre carotte,Gunkan,,N,,,,,,,0.00,,,,N,Y,8.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
gunkan-tartare-de-crevette-,10109,Gunkan Tartare de crevette,Gunkan,,N,,,,,,,0.00,,,,N,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
tartare-de-surimi-,10108,Gunkan Tartare de Surimi,Gunkan,,N,,,,,,,0.00,,,,N,Y,8.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
gunkan-thon-avocat-ciboulette,10107,Gunkan thon avocat ciboulette,Gunkan,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
gyozas,10087,Gyozas,Raviolis,,N,Nombre,15,Accompagnements,Par 15,,,0.00,,,,N,Y,28.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
gyozas,10088,,,,,,9,,Par 12,,,0.00,,,,,Y,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gyozas,10086,,,,,,9,,Par 9,,,0.00,,,,,Y,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henniez-plate,10120,Henniez,Boissons,,N,type,gazeuse,,,,,0.00,,,,Y,Y,3.00,-3.000,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
henniez-plate,10119,,,,,,plate,,,,,0.00,,,,,Y,3.00,-7.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
henniez-1,10151,Henniez,Boissons,,N,,,,,,,0.00,,,,N,Y,3.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
lunchbox-gyoza,10139,Lunchbox gyoza,Lunchbox,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
lunchbox-gyozas-poulet-/-crevette,10133,lunchbox gyozas Poulet / Crevette,Lunchbox,,N,type,standard,,,,,0.00,,,,N,Y,11.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
lunchbox-gyozas-poulet-/-crevette,10132,,,,,,étudiant,,,,,0.00,,,,,Y,9.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,
lunchbox-gyozas-végétarien,10131,lunchbox gyozas végétarien,Lunchbox,,N,type,normal,,,,,0.00,,,,N,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
lunchbox-gyozas-végétarien,10130,,,,,,étudiant,,,,,0.00,,,,,Y,8.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,
lunchbox-maki,10138,Lunchbox maki,Lunchbox,,N,,,,,,,0.00,,,,N,Y,0.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
lunchbox-végétarienne,10123,Lunchbox maki végétariens,Lunchbox,,N,type,standard,,,,,0.00,,,,N,Y,12.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
lunchbox-végétarienne,10122,,,,,,étudiant,,,,,0.00,,,,,Y,10.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,
lunchox-maki-s/t,10056,Lunchox Maki Saumon thon,Lunchbox,,N,Type,Etudiant,,,,,0.00,,,,N,Y,12.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
lunchox-maki-s/t,10121,,,,,,standard,,,,,0.00,,,,,Y,15.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,
maki,10018,Maki,Devis,,N,,,,,,,0.00,,,,N,Y,1.30,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-2*3,10194,Maki 2*3,Maki,,N,,,,,,,0.00,,,,N,Y,9.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y
maki-anguille-grillée-mangue,10142,Maki anguille grillée mangue,Maki,,N,,,,,,,0.00,,,,N,Y,13.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-avocat,10023,Maki avocat,Maki,,N,,,,,,,0.00,,,,N,Y,6.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-avocat-cheese,10600,Maki avocat cheese,Maki,,N,,,,,,,0.00,,,,N,Y,6.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-avocat-mangue,10206,Maki Avocat Mangue,Maki,,N,,,,,,,0.00,,,,N,Y,6.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-banana-speculos,10075,Maki banana speculos,Desserts,,N,,,,,,,0.00,,,,N,Y,7.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-banane-nutela,10076,Maki banane nutela,Desserts,,N,,,,,,,0.00,,,,N,Y,7.50,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
maki-concombre,10205,Maki concombre,Maki,,N,,,,,,,0.00,,,,N,Y,7.00,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
